Fecha_Venta,Nom_Producto,Cantidad_Vendida,Precio_Unit,region
2023-02-21 00:00:00,Laptop,4,423,Norte
2023-01-15 00:00:00,Laptop,2,171,Norte
2023-03-13 00:00:00,Laptop,3,73,Norte
2023-03-02 00:00:00,Teclado,1,139,Norte
2023-01-21 00:00:00,Monitor,4,692,Norte
2023-03-24 00:00:00,Monitor,1,939,Norte
2023-03-28 00:00:00,Laptop,1,647,Norte
2023-03-16 00:00:00,Monitor,3,606,Norte
2023-03-16 00:00:00,Monitor,2,644,Norte
2023-03-29 00:00:00,Laptop,2,987,Norte
2023-01-24 00:00:00,Monitor,1,439,Norte
2023-01-03 00:00:00,Webcam,4,441,Norte
2023-01-22 00:00:00,Mouse,2,123,Norte
2023-02-22 00:00:00,Mouse,4,871,Norte
2023-01-02 00:00:00,Laptop,2,273,Norte
2023-03-29 00:00:00,Teclado,4,246,Norte
2023-01-30 00:00:00,Laptop,3,131,Norte
2023-02-07 00:00:00,Teclado,4,529,Norte
2023-01-02 00:00:00,Mouse,3,492,Norte
2023-03-05 00:00:00,Laptop,3,118,Norte
2023-03-01 00:00:00,Webcam,4,172,Norte
2023-01-21 00:00:00,Monitor,3,880,Norte
2023-02-02 00:00:00,Teclado,1,933,Norte
2023-03-17 00:00:00,Monitor,3,915,Norte
2023-02-27 00:00:00,Monitor,2,897,Norte
2023-01-22 00:00:00,Laptop,4,357,Norte
2023-03-30 00:00:00,Monitor,1,725,Norte
2023-02-18 00:00:00,Webcam,4,841,Norte
2023-02-28 00:00:00,Monitor,2,182,Norte
2023-02-11 00:00:00,Laptop,2,739,Norte
2023-03-01 00:00:00,Webcam,2,976,Norte
2023-03-21 00:00:00,Mouse,3,700,Norte
2023-01-15 00:00:00,Monitor,3,180,Norte
2023-03-03 00:00:00,Laptop,4,599,Norte
2023-03-03 00:00:00,Mouse,4,820,Norte
2023-02-16 00:00:00,Mouse,1,417,Norte
2023-03-03 00:00:00,Teclado,1,296,Norte
2023-02-20 00:00:00,Webcam,4,835,Norte
2023-02-24 00:00:00,Monitor,3,935,Norte
2023-03-05 00:00:00,Laptop,2,523,Norte
2023-01-03 00:00:00,Teclado,4,915,Norte
2023-02-20 00:00:00,Webcam,1,411,Norte
2023-01-07 00:00:00,Teclado,3,154,Norte
2023-01-21 00:00:00,Webcam,4,214,Norte
2023-03-14 00:00:00,Webcam,4,420,Norte
2023-02-08 00:00:00,Monitor,3,659,Norte
2023-01-18 00:00:00,Webcam,4,52,Norte
2023-01-04 00:00:00,Teclado,3,707,Norte
2023-03-30 00:00:00,Webcam,2,479,Norte
2023-03-01 00:00:00,Monitor,3,974,Norte
2023-01-14 00:00:00,Monitor,3,902,Norte
2023-01-09 00:00:00,Teclado,3,489,Norte
2023-03-31 00:00:00,Mouse,4,394,Norte
2023-02-22 00:00:00,Mouse,4,41,Norte
2023-01-02 00:00:00,Webcam,3,769,Norte
2023-03-25 00:00:00,Laptop,4,689,Norte
2023-03-01 00:00:00,Webcam,1,57,Norte
